qualifying_annotation_id,primary_annotation_id
3,2
4,2
6,5
8,7
9,7
11,10
12,10
14,13
15,13
17,16
19,18
21,20
22,20
24,23
25,23
27,26
28,26
30,29
32,31
34,33
35,33
36,33
39,38
41,40
44,43
47,46
49,48
50,48
52,51
54,53
57,56
59,58
61,60
62,60
63,60
66,65
68,67
70,69
72,71
74,73
75,73
76,73
79,78
82,81
84,83
86,85
88,87
89,87
90,87
93,92
95,94
97,96
101,100
104,103
107,106
108,106
109,106
110,106
113,112
116,115
119,118
121,120
122,120
123,120
126,125
130,129
134,133
136,135
139,138
143,142
147,146
149,148
150,148
151,148
154,153
157,156
160,159
161,159
162,159
165,164
167,166
169,168
171,170
175,174
176,174
179,178
182,181
184,183
185,183
186,183
187,183
191,190
193,192
194,192
196,195
198,197
199,197
201,200
202,200
204,203
206,205
207,205
208,205
211,210
213,212
214,212
216,215
218,217
221,220
223,222
224,222
225,222
228,227
230,229
232,231
234,233
236,235
237,235
238,235
241,240
244,243
246,245
248,247
249,247
250,247
253,252
255,254
257,256
259,258
261,260
262,260
263,260
264,260
267,266
269,268
271,270
273,272
274,272
275,272
278,277
281,280
283,282
285,284
287,286
288,286
289,286
292,291
294,293
296,295
298,297
300,299
301,299
304,303
306,305
308,307
310,309
311,309
312,309
313,309
