data_id,data_name,qualified_data_name
1,original_dataset,[original_dataset]
2,local_authority_source,[local_authority_source]
3,name_cleaning_log,[name_cleaning_log]
4,data_with_cleaned_names_and_dates,[data_with_cleaned_names_and_dates]
5,date_cleaning_log,[date_cleaning_log]
6,local_authority_source,clean_name_and_date_workflow[local_authority_source]
7,original_dataset,clean_name_and_date_workflow[original_dataset]
8,data_with_cleaned_names,clean_name_and_date_workflow[data_with_cleaned_names]
9,name_cleaning_log,clean_name_and_date_workflow[name_cleaning_log]
10,record_id_data,clean_name_and_date_workflow[record_id_data]
31,data_with_cleaned_names_and_dates,clean_name_and_date_workflow[data_with_cleaned_names_and_dates]
32,date_cleaning_log,clean_name_and_date_workflow[date_cleaning_log]
11,name_cleaning_log,clean_name_and_date_workflow.clean_scientific_name[name_cleaning_log]
12,local_authority_source,clean_name_and_date_workflow.clean_scientific_name[local_authority_source]
13,local_authority_source_scientificName_list,clean_name_and_date_workflow.clean_scientific_name[local_authority_source_scientificName_list]
14,original_dataset,clean_name_and_date_workflow.clean_scientific_name[original_dataset]
15,scientificName,clean_name_and_date_workflow.clean_scientific_name[scientificName]
16,authorship,clean_name_and_date_workflow.clean_scientific_name[authorship]
17,RecordID,clean_name_and_date_workflow.clean_scientific_name[RecordID]
18,other_fields,clean_name_and_date_workflow.clean_scientific_name[other_fields]
19,record_id_data,clean_name_and_date_workflow.clean_scientific_name[record_id_data]
20,empty_scientificName,clean_name_and_date_workflow.clean_scientific_name[empty_scientificName]
21,nonEmpty_scientificName,clean_name_and_date_workflow.clean_scientific_name[nonEmpty_scientificName]
22,record_final_status,clean_name_and_date_workflow.clean_scientific_name[record_final_status]
23,unable-to-validate_record_count,clean_name_and_date_workflow.clean_scientific_name[unable-to-validate_record_count]
24,matching_record,clean_name_and_date_workflow.clean_scientific_name[matching_record]
25,match_result,clean_name_and_date_workflow.clean_scientific_name[match_result]
26,matching_method,clean_name_and_date_workflow.clean_scientific_name[matching_method]
27,updated_scientificName,clean_name_and_date_workflow.clean_scientific_name[updated_scientificName]
28,updated_authorship,clean_name_and_date_workflow.clean_scientific_name[updated_authorship]
29,accepted_record_count,clean_name_and_date_workflow.clean_scientific_name[accepted_record_count]
30,data_with_cleaned_names,clean_name_and_date_workflow.clean_scientific_name[data_with_cleaned_names]
33,date_cleaning_log,clean_name_and_date_workflow.clean_event_date[date_cleaning_log]
34,data_with_cleaned_names,clean_name_and_date_workflow.clean_event_date[data_with_cleaned_names]
35,record_id_data,clean_name_and_date_workflow.clean_event_date[record_id_data]
36,eventDate,clean_name_and_date_workflow.clean_event_date[eventDate]
37,RecordID,clean_name_and_date_workflow.clean_event_date[RecordID]
38,other_fields,clean_name_and_date_workflow.clean_event_date[other_fields]
39,empty_eventDate,clean_name_and_date_workflow.clean_event_date[empty_eventDate]
40,nonEmpty_eventDate,clean_name_and_date_workflow.clean_event_date[nonEmpty_eventDate]
41,unable-to-validate_record_count,clean_name_and_date_workflow.clean_event_date[unable-to-validate_record_count]
42,compliant_eventDate,clean_name_and_date_workflow.clean_event_date[compliant_eventDate]
43,nonCompliant_eventDate,clean_name_and_date_workflow.clean_event_date[nonCompliant_eventDate]
44,updated_eventDate,clean_name_and_date_workflow.clean_event_date[updated_eventDate]
45,accepted_record_count,clean_name_and_date_workflow.clean_event_date[accepted_record_count]
46,data_with_cleaned_names_and_dates,clean_name_and_date_workflow.clean_event_date[data_with_cleaned_names_and_dates]
