port_id,channel_id
9,58
69,59
70,60
6,61
7,62
8,63
67,63
10,64
68,64
7,65
6,66
9,67
69,68
70,69
63,1
66,2
19,3
12,4
14,5
15,6
21,6
15,7
59,7
17,8
25,8
17,9
37,9
17,10
54,10
22,11
26,11
23,12
30,12
13,13
31,13
34,14
38,14
34,15
55,15
33,16
39,16
33,17
43,17
35,18
42,18
35,19
47,19
32,20
44,20
32,21
48,21
16,22
46,22
16,23
52,23
16,24
60,24
45,25
50,25
45,26
61,26
49,27
51,27
49,28
62,28
18,29
58,29
56,30
64,30
40,31
65,31
12,32
14,33
63,34
66,35
19,36
101,37
104,38
72,39
73,40
74,41
78,41
74,42
100,42
75,43
82,43
75,44
93,44
79,45
83,45
80,46
86,46
88,47
90,47
91,48
94,48
91,49
99,49
87,50
95,50
76,51
98,51
96,52
102,52
84,53
103,53
72,54
73,55
101,56
104,57
