program_id,program_name,qualified_program_name,begin_annotation_id,end_annotation_id
1,clean_name_and_date_workflow,clean_name_and_date_workflow,1,316
2,clean_scientific_name,clean_name_and_date_workflow.clean_scientific_name,16,189
3,initialize_run,clean_name_and_date_workflow.clean_scientific_name.initialize_run,31,37
4,read_scientific_name,clean_name_and_date_workflow.clean_scientific_name.read_scientific_name,38,45
5,read_data_records,clean_name_and_date_workflow.clean_scientific_name.read_data_records,46,64
6,check_if_name_is_nonempty,clean_name_and_date_workflow.clean_scientific_name.check_if_name_is_nonempty,65,77
7,log_name_is_empty,clean_name_and_date_workflow.clean_scientific_name.log_name_is_empty,78,91
8,find_name_match,clean_name_and_date_workflow.clean_scientific_name.find_name_match,92,111
9,log_match_not_found,clean_name_and_date_workflow.clean_scientific_name.log_match_not_found,112,124
10,update_scientific_name,clean_name_and_date_workflow.clean_scientific_name.update_scientific_name,125,132
11,update_authorship,clean_name_and_date_workflow.clean_scientific_name.update_authorship,133,141
12,log_updated_record,clean_name_and_date_workflow.clean_scientific_name.log_updated_record,142,152
13,log_accepted_record,clean_name_and_date_workflow.clean_scientific_name.log_accepted_record,153,163
14,write_data_into_file,clean_name_and_date_workflow.clean_scientific_name.write_data_into_file,164,177
15,log_summary,clean_name_and_date_workflow.clean_scientific_name.log_summary,178,188
16,clean_event_date,clean_name_and_date_workflow.clean_event_date,190,315
17,initialize_run,clean_name_and_date_workflow.clean_event_date.initialize_run,203,209
18,read_data_records,clean_name_and_date_workflow.clean_event_date.read_data_records,210,226
19,check_if_date_is_nonempty,clean_name_and_date_workflow.clean_event_date.check_if_date_is_nonempty,227,239
20,log_date_is_empty,clean_name_and_date_workflow.clean_event_date.log_date_is_empty,240,251
21,check_ISO_date_compliant,clean_name_and_date_workflow.clean_event_date.check_ISO_date_compliant,252,265
22,update_event_date,clean_name_and_date_workflow.clean_event_date.update_event_date,266,276
23,log_accepted_record,clean_name_and_date_workflow.clean_event_date.log_accepted_record,277,290
24,write_data_into_file,clean_name_and_date_workflow.clean_event_date.write_data_into_file,291,302
25,log_summary,clean_name_and_date_workflow.clean_event_date.log_summary,303,314
26,exactmatch,exactmatch,317,322
27,fuzzymatch,fuzzymatch,323,327
28,fieldmatch,fieldmatch,328,333
29,timestamp,timestamp,334,337
